Domain,Having_IP,Have_At_Sign,URL_Length,URL_Depth,Redirection,HTTP_in_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Iframe,Mouse_Over,Right_Click,Web_Forwards,Label
www.etc.login.hubivu.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
produto.cqm.homes,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
bi-en-linea.jimdosite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.dentalbolivia.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
www.hwunion.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.neutralgroundz.com,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
www.kto-is-kto.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.checkoutspace.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
steanccomnmunity.ru,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.rock-book.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.theartofken.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.denios.es,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.fccm.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.planksandpizza.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.coc.tw,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.foodinfoo.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.sayeverything.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.prestigecity.gen.in,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.e-butterfly.org,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.richardwinterton.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.harvesttimepartners.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.kasamais.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.ridedart.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
www.armblog.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.zoosnoods.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.gcit.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.virtualczech.cz,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.virus.info,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.nationallobsterhatchery.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
aol-101209.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.discoveranthropology.org.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.london.anglican.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.carnavalet.paris.fr,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
ibnab-online.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
business-page-appeal-15564.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.jewelrybybloom.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
iiioiuyatrueno.iiooooytrueoaas.repl.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.astarisbornmovie.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
attdl.square.site,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
prodigynetlogss.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.hello-chicky.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.abbeywhisky.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.fc9fbf909c42d3012f25fa68f6721ebc1e.ws,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
90asc-g3-318u-f191f-f21fg.infura-ipfs.io,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
www.baksels.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.realbeardedmen.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.ashleyandco.com.sg,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.luckydogaccessories.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.carriemaeweems.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.f0562069.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.l3.zwmdv.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.kuehnmotors.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.hagerty.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.papercall.io,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.awg.army.mil,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.acoustic-curtains.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.wwwi.earthsolution.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
fkewmgmrnq.offerschedule.club,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
www.sevenmizban.ir,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.ntu-sg-edu.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
afcu-0nlinebnking-cp3n.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.corp-dnsonline.itsaol.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
letter-scg.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ipfs.io,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
www.americaoexprecs.co.jp.epgajsk.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.nomoa.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.gestionderiesgos.gob.ec,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.live.org.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
facebook-me.onrender.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.androidguys.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.socialbearing.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.bridgew.edu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.breitkopf.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.womenup.cz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.ourbeskpo.life,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.farfelue.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.wscal.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.grandeoaks.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
virificarpontoss114.z8.web.core.windows.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.skyscrapercity.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.uwcchina.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.nwds-ak.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
homebanking.bper-it.com,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
www.sentrilock.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.wcb.ns.ca,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.816e-182-227-90-53.ngrok.io,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.ontheryse.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
gotpaylah.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.tshirtsthatsuck.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.myeasybee.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.tatianasdelights.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.managingmadrid.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
ipfs.eth.aragon.network,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
www.weetechsolution.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.esm.psu.edu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.jewelsofelul.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.gcnews.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.dtmagazine.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.afjare.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.shaparak-my.ml,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
renewal-ovhcloud.oud-s.eu,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
groupcritic.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
www.actua.dk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.niteflirt.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
www.englishgolf-courses.co.uk,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.crsi.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.heavenly.sk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.islandstyleclothing.com.au,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.circlevilleherald.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.ekie-nat.ekaste.dduuwm.top,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
outlook-docu-share.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
bisabs.jimdosite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.docjournals.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.joedallesandro.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.merturku.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.pandora-app.net,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
att-101312.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.justschoolbiz.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.gatestoneinstitute.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
usdusd8.godaddysites.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.venuelc.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.ib1.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
verifyurgentbankpostalinfo-fr.firebaseapp.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.icare.or.kr,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.manicuresandcocktails.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.livefromtheastroturf.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.umu.se,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.3ix8fc64.cfd,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.snioo.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
dscx2.app.link,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
www.motoplanete.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.kulturland.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.mathematik.uni-muenchen.de,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
www.emperorshammer.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.yuga.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.badmintonalley.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.catit.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
www.quillcitymall.com.my,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.theawakenermagazine.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.artsfaculty.auckland.ac.nz,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.miniweb.tv,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
euro-techproducts.com.au,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
seguridadbcr.desbloqueobcr.repl.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.amistoso.cafe,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
ao2jk.supergoeducation.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.wralsportsfan.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bnpparibasfortis-ser1.web.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
mips.farmasi.unhas.ac.id,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
www.aseees.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.officinaturistica.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.iqpf.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
pepsi-365.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.senea.cf,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.products.almostmy.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.libertymagazine.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.biomaarquitetura.com.br,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
www.spadash.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.sync-time.info,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1
www.creativecombat.com,0,0,1,4,0,0,1,0,1,1,1,1,1,1,1,1,1
www.en-metemask.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.carboncollective.co,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
www.dco.uscg.mil,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
